Best_Threshold,Accuracy,Precision,Recall,F1
0.1,0.5316275764036958,0.3587710604558969,0.9679144385026738,0.5234996384671005
0.1,0.5785358919687278,0.3831376734258271,0.9598930481283422,0.547673531655225
0.1,0.5984363894811656,0.39377085650723026,0.946524064171123,0.5561665357423409
0.1,0.6311300639658849,0.41317365269461076,0.9224598930481284,0.5707196029776674
0.1,0.644633972992182,0.4216417910447761,0.9064171122994652,0.5755517826825127
0.1,0.6204690831556503,0.40384615384615385,0.8983957219251337,0.5572139303482587
0.1,0.67590618336887,0.444743935309973,0.8823529411764706,0.5913978494623656
0.1,0.681592039800995,0.4486111111111111,0.8636363636363636,0.5904936014625228
0.1,0.650319829424307,0.42216358839050133,0.8556149732620321,0.5653710247349824
0.1,0.6936744847192609,0.45875542691751087,0.8475935828877005,0.5953051643192488
0.1,0.7199715707178393,0.4826388888888889,0.7433155080213903,0.5852631578947368
